Date,Close,High,Low,Open
2025/3/19,952,967,950,965
2025/3/20,985,985,971,978
2025/3/21,972,987,970,985
2025/3/24,972,987,972,986
2025/3/25,990,995,985,989
2025/3/26,980,995,980,995
2025/3/27,958,964,958,961
2025/3/28,952,955,946,946
2025/3/31,910,924,910,920
2025/4/1,944,946,925,929
2025/4/2,942,952,938,949
2025/4/7,848,848,848,848
2025/4/8,816,843,797,797
2025/4/9,785,826,780,809
2025/4/10,863,863,863,863
2025/4/11,889,889,836,848
2025/4/14,865,903,865,895
2025/4/15,877,879,865,874
2025/4/16,855,869,852,867
2025/4/17,847,856,842,849
2025/4/18,850,858,850,853
2025/4/21,835,847,832,844
2025/4/22,816,829,816,826
2025/4/23,873,873,848,853
2025/4/24,864,886,859,886
2025/4/25,888,901,886,900
2025/4/28,897,898,893,898
2025/4/29,902,902,893,897
2025/4/30,908,908,899,901
2025/5/2,950,950,932,938
2025/5/5,938,957,923,956
2025/5/6,920,930,916,916
2025/5/7,928,932,911,925
2025/5/8,918,939,918,933
2025/5/9,949,949,934,938
2025/5/12,957,962,952,954
2025/5/13,969,990,969,990
2025/5/14,999,999,988,990
2025/5/15,993,1000,993,1000
2025/5/16,998,998,989,991
2025/5/19,984,994,980,993
2025/5/20,978,994,978,991
2025/5/21,990,999,983,986
